"INDICATOR","HFA_25"

"HFA_25","Total fertility rate"

"UNIT_TYPE","Unit"
"BIRTHS_WOMAN","births per woman"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"HFA","European Health for All database"

"DATA_TYPE_REPRESENTATION","Data type representation"
"RATIO","Ratio"

"DATA_SET","Data set"
"HFA","European Health for All database (WHO)"

"DATA_MASK","Mask for controlling the output format of values"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ALB","","ALL","1980","3.6"
"ALB","","ALL","1981","3.44"
"ALB","","ALL","1982","3.56"
"ALB","","ALL","1983","3.25"
"ALB","","ALL","1984","3.38"
"ALB","","ALL","1985","3.26"
"ALB","","ALL","1986","3.11"
"ALB","","ALL","1987","3.16"
"ALB","","ALL","1988","3.03"
"ALB","","ALL","1989","2.96"
"ALB","","ALL","1990","3.03"
"ALB","","ALL","1991","2.95"
"ALB","","ALL","1992","2.8"
"ALB","","ALL","1993","2.75"
"ALB","","ALL","1994","2.6"
"ALB","","ALL","1995","2.4"
"ALB","","ALL","1996","2.6"
"ALB","","ALL","1997","2.5"
"ALB","","ALL","1998","2.5"
"ALB","","ALL","1999","2.4"
"ALB","","ALL","2000","2.4"
"ALB","","ALL","2001","2.1"
"ALB","","ALL","2002","2.29"
"ALB","","ALL","2003","2"
"ALB","","ALL","2004","1.79"
"ALB","","ALL","2005","1.78"
"ALB","","ALL","2007","1.3"
"ALB","","ALL","2008","1.6"
"ALB","","ALL","2009","1.6"
"ALB","","ALL","2011","1.58"
"ALB","","ALL","2012","1.78"
"ALB","","ALL","2013","1.76"
"ALB","","ALL","2014","1.78"
"ALB","","ALL","2015","1.67"
"ALB","","ALL","2016","1.54"
"ALB","","ALL","2017","1.48"
"AND","","ALL","1991","1.5"
"AND","","ALL","1995","1.08"
"AND","","ALL","1996","1.03"
"AND","","ALL","1997","1.28"
"AND","","ALL","1998","1.37"
"AND","","ALL","1999","1.18"
"AND","","ALL","2000","1.32"
"AND","","ALL","2001","1.36"
"AND","","ALL","2002","1.41"
"AND","","ALL","2003","1.3"
"AND","","ALL","2004","1.27"
"AND","","ALL","2005","1.23"
"AND","","ALL","2006","1.22"
"AND","","ALL","2007","1.18"
"AND","","ALL","2008","1.24"
"AND","","ALL","2009","1.21"
"AND","","ALL","2010","1.23"
"AND","","ALL","2011","1.21"
"AND","","ALL","2012","1.19"
"AND","","ALL","2013","1.08"
"AND","","ALL","2014","1.11"
"AND","","ALL","2015","1.16"
"AND","","ALL","2016","1.11"
"AND","","ALL","2017","1.06"
"AND","","ALL","2018","0.99"
"AND","","ALL","2019","0.89"
"ARM","","ALL","1970","3.2"
"ARM","","ALL","1980","2.3"
"ARM","","ALL","1981","2.3"
"ARM","","ALL","1982","2.3"
"ARM","","ALL","1983","2.4"
"ARM","","ALL","1984","2.5"
"ARM","","ALL","1985","2.55"
"ARM","","ALL","1986","2.56"
"ARM","","ALL","1987","2.54"
"ARM","","ALL","1988","2.49"
"ARM","","ALL","1989","2.61"
"ARM","","ALL","1990","2.63"
"ARM","","ALL","1991","2.58"
"ARM","","ALL","1992","2.3"
"ARM","","ALL","1993","1.96"
"ARM","","ALL","1994","1.7"
"ARM","","ALL","1995","1.63"
"ARM","","ALL","1996","1.59"
"ARM","","ALL","1997","1.45"
"ARM","","ALL","1998","1.29"
"ARM","","ALL","1999","1.19"
"ARM","","ALL","2000","1.11"
"ARM","","ALL","2001","1.02"
"ARM","","ALL","2002","1.33"
"ARM","","ALL","2003","1.35"
"ARM","","ALL","2004","1.38"
"ARM","","ALL","2005","1.37"
"ARM","","ALL","2006","1.35"
"ARM","","ALL","2007","1.42"
"ARM","","ALL","2008","1.44"
"ARM","","ALL","2009","1.55"
"ARM","","ALL","2010","1.56"
"ARM","","ALL","2011","1.5"
"ARM","","ALL","2012","1.56"
"ARM","","ALL","2013","1.57"
"ARM","","ALL","2014","1.65"
"ARM","","ALL","2015","1.65"
"ARM","","ALL","2016","1.65"
"ARM","","ALL","2017","1.58"
"ARM","","ALL","2018","1.57"
"ARM","","ALL","2019","1.6"
"ARM","","ALL","2020","1.66"
"AUT","","ALL","1980","1.6"
"AUT","","ALL","1981","1.67"
"AUT","","ALL","1982","1.66"
"AUT","","ALL","1983","1.56"
"AUT","","ALL","1984","1.52"
"AUT","","ALL","1985","1.47"
"AUT","","ALL","1986","1.45"
"AUT","","ALL","1987","1.43"
"AUT","","ALL","1988","1.45"
"AUT","","ALL","1989","1.45"
"AUT","","ALL","1990","1.46"
"AUT","","ALL","1991","1.51"
"AUT","","ALL","1992","1.51"
"AUT","","ALL","1993","1.5"
"AUT","","ALL","1994","1.47"
"AUT","","ALL","1995","1.42"
"AUT","","ALL","1996","1.45"
"AUT","","ALL","1997","1.39"
"AUT","","ALL","1998","1.37"
"AUT","","ALL","1999","1.34"
"AUT","","ALL","2000","1.36"
"AUT","","ALL","2001","1.33"
"AUT","","ALL","2002","1.4"
"AUT","","ALL","2003","1.38"
"AUT","","ALL","2004","1.42"
"AUT","","ALL","2005","1.41"
"AUT","","ALL","2006","1.41"
"AUT","","ALL","2007","1.38"
"AUT","","ALL","2008","1.41"
"AUT","","ALL","2009","1.39"
"AUT","","ALL","2010","1.44"
"AUT","","ALL","2011","1.43"
"AUT","","ALL","2012","1.44"
"AUT","","ALL","2013","1.44"
"AUT","","ALL","2014","1.46"
"AUT","","ALL","2015","1.49"
"AUT","","ALL","2016","1.53"
"AUT","","ALL","2017","1.52"
"AUT","","ALL","2018","1.48"
"AUT","","ALL","2019","1.46"
"AUT","","ALL","2020","1.44"
"AZE","","ALL","1970","4.7"
"AZE","","ALL","1971","4.6"
"AZE","","ALL","1972","4.1"
"AZE","","ALL","1973","4.1"
"AZE","","ALL","1974","4"
"AZE","","ALL","1975","3.7"
"AZE","","ALL","1976","3.9"
"AZE","","ALL","1977","3.8"
"AZE","","ALL","1978","3.6"
"AZE","","ALL","1979","3.5"
"AZE","","ALL","1980","3.3"
"AZE","","ALL","1981","3.2"
"AZE","","ALL","1982","3.1"
"AZE","","ALL","1983","3"
"AZE","","ALL","1984","3"
"AZE","","ALL","1985","2.9"
"AZE","","ALL","1986","2.9"
"AZE","","ALL","1987","2.9"
"AZE","","ALL","1988","2.8"
"AZE","","ALL","1989","2.8"
"AZE","","ALL","1990","2.8"
"AZE","","ALL","1991","2.9"
"AZE","","ALL","1992","2.7"
"AZE","","ALL","1993","2.7"
"AZE","","ALL","1994","2.5"
"AZE","","ALL","1995","2.3"
"AZE","","ALL","1996","2.1"
"AZE","","ALL","1997","2.1"
"AZE","","ALL","1998","2"
"AZE","","ALL","1999","2"
"AZE","","ALL","2000","2"
"AZE","","ALL","2001","1.8"
"AZE","","ALL","2002","1.8"
"AZE","","ALL","2003","1.9"
"AZE","","ALL","2004","2.1"
"AZE","","ALL","2005","2.3"
"AZE","","ALL","2006","2.3"
"AZE","","ALL","2007","2.3"
"AZE","","ALL","2008","2.3"
"AZE","","ALL","2009","2.3"
"AZE","","ALL","2010","2.3"
"AZE","","ALL","2011","2.4"
"AZE","","ALL","2012","2.3"
"AZE","","ALL","2013","2.2"
"AZE","","ALL","2014","2.2"
"AZE","","ALL","2015","2.1"
"AZE","","ALL","2016","2"
"AZE","","ALL","2017","1.9"
"BEL","","ALL","1980","1.7"
"BEL","","ALL","1981","1.7"
"BEL","","ALL","1982","1.6"
"BEL","","ALL","1983","1.6"
"BEL","","ALL","1984","1.5"
"BEL","","ALL","1985","1.51"
"BEL","","ALL","1986","1.5"
"BEL","","ALL","1987","1.5"
"BEL","","ALL","1988","1.6"
"BEL","","ALL","1989","1.6"
"BEL","","ALL","1990","1.6"
"BEL","","ALL","1991","1.65"
"BEL","","ALL","1992","1.65"
"BEL","","ALL","1993","1.65"
"BEL","","ALL","1994","1.6"
"BEL","","ALL","1995","1.6"
"BEL","","ALL","1996","1.6"
"BEL","","ALL","1997","1.6"
"BEL","","ALL","1998","1.6"
"BEL","","ALL","1999","1.6"
"BEL","","ALL","2000","1.7"
"BEL","","ALL","2001","1.7"
"BEL","","ALL","2002","1.6"
"BEL","","ALL","2003","1.7"
"BEL","","ALL","2004","1.7"
"BEL","","ALL","2005","1.8"
