"INDICATOR","HFA_586"

"HFA_586","Abortions per 1000 live births"

"UNIT_TYPE","Unit"
"PROC_1000LBIRTH","procedures per 1000 live births"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"HFA","European Health for All database"

"DATA_TYPE_REPRESENTATION","Data type representation"
"RATIO","Ratio"

"DATA_SET","Data set"
"HFA","European Health for All database (WHO)"

"DATA_MASK","Mask for controlling the output format of values"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ALB","","ALL","1980","225.13"
"ALB","","ALL","1981","193.74"
"ALB","","ALL","1982","198.65"
"ALB","","ALL","1983","240.6"
"ALB","","ALL","1984","238.81"
"ALB","","ALL","1985","264.25"
"ALB","","ALL","1986","271.71"
"ALB","","ALL","1987","261.18"
"ALB","","ALL","1988","309.64"
"ALB","","ALL","1989","296.11"
"ALB","","ALL","1990","317.95"
"ALB","","ALL","1991","393.07"
"ALB","","ALL","1992","367.85"
"ALB","","ALL","1993","470.48"
"ALB","","ALL","1994","433.53"
"ALB","","ALL","1995","447.66"
"ALB","","ALL","1996","405.72"
"ALB","","ALL","1997","358.49"
"ALB","","ALL","1998","315.07"
"ALB","","ALL","1999","282.32"
"ALB","","ALL","2000","341.87"
"ALB","","ALL","2001","298.36"
"ALB","","ALL","2002","350.93"
"ALB","","ALL","2003","257.1"
"ALB","","ALL","2004","244.46"
"ALB","","ALL","2005","241.73"
"ALB","","ALL","2006","266.14"
"ALB","","ALL","2007","262.13"
"ALB","","ALL","2008","249.22"
"ALB","","ALL","2009","238.58"
"ALB","","ALL","2010","203.14"
"ALB","","ALL","2011","205.4"
"ALB","","ALL","2012","190.43"
"ALB","","ALL","2013","170.43"
"ALB","","ALL","2014","155.82"
"ALB","","ALL","2015","171.76"
"ALB","","ALL","2016","170.04"
"ALB","","ALL","2017","171.01"
"AND","","ALL","1995","150"
"ARM","","ALL","1980","463.63"
"ARM","","ALL","1981","435.72"
"ARM","","ALL","1982","431.18"
"ARM","","ALL","1983","415.69"
"ARM","","ALL","1984","418.52"
"ARM","","ALL","1985","422.09"
"ARM","","ALL","1986","469.46"
"ARM","","ALL","1987","415.16"
"ARM","","ALL","1988","390.18"
"ARM","","ALL","1989","347.39"
"ARM","","ALL","1990","326.66"
"ARM","","ALL","1991","350.32"
"ARM","","ALL","1992","396.11"
"ARM","","ALL","1993","472.67"
"ARM","","ALL","1994","598.28"
"ARM","","ALL","1995","627.59"
"ARM","","ALL","1996","650.75"
"ARM","","ALL","1997","575.16"
"ARM","","ALL","1998","464.51"
"ARM","","ALL","1999","394.58"
"ARM","","ALL","2000","343.36"
"ARM","","ALL","2001","324.93"
"ARM","","ALL","2002","303.05"
"ARM","","ALL","2003","299.78"
"ARM","","ALL","2004","283.72"
"ARM","","ALL","2005","291.34"
"ARM","","ALL","2006","277.57"
"ARM","","ALL","2007","286.77"
"ARM","","ALL","2008","302.76"
"ARM","","ALL","2009","310.65"
"ARM","","ALL","2010","274.29"
"ARM","","ALL","2011","279.88"
"ARM","","ALL","2012","323.21"
"ARM","","ALL","2013","307.99"
"ARM","","ALL","2014","279.31"
"ARM","","ALL","2015","269.59"
"ARM","","ALL","2017","271.3"
"ARM","","ALL","2018","291.11"
"ARM","","ALL","2019","314.86"
"AZE","","ALL","1990","134.49"
"AZE","","ALL","1991","178.65"
"AZE","","ALL","1992","178.02"
"AZE","","ALL","1993","194.43"
"AZE","","ALL","1994","208.77"
"AZE","","ALL","1995","200.26"
"AZE","","ALL","1996","219.87"
"AZE","","ALL","1997","191.05"
"AZE","","ALL","1998","201.15"
"AZE","","ALL","1999","177.91"
"AZE","","ALL","2000","149.83"
"AZE","","ALL","2001","166.38"
"AZE","","ALL","2002","150.25"
"AZE","","ALL","2003","149.05"
"AZE","","ALL","2004","150.49"
"AZE","","ALL","2005","138.03"
"AZE","","ALL","2006","140.1"
"AZE","","ALL","2007","146.91"
"AZE","","ALL","2008","166.06"
"AZE","","ALL","2009","161.44"
"AZE","","ALL","2010","161.8"
"AZE","","ALL","2011","157.83"
"AZE","","ALL","2012","177.9"
"AZE","","ALL","2013","161.53"
"AZE","","ALL","2014","159.65"
"AZE","","ALL","2015","165.16"
"AZE","","ALL","2016","216.78"
"AZE","","ALL","2017","261.16"
"BEL","","ALL","1985","140.54"
"BEL","","ALL","1986","127.85"
"BEL","","ALL","1987","133.15"
"BEL","","ALL","1988","123.79"
"BEL","","ALL","1989","134.36"
"BEL","","ALL","1993","85.89"
"BEL","","ALL","1994","92.15"
"BEL","","ALL","1995","97.31"
"BEL","","ALL","1996","108.45"
"BEL","","ALL","1997","105.55"
"BEL","","ALL","1998","105"
"BEL","","ALL","1999","112.22"
"BEL","","ALL","2000","119.79"
"BEL","","ALL","2001","129.41"
"BEL","","ALL","2002","132.97"
"BEL","","ALL","2003","139.06"
"BEL","","ALL","2004","138.59"
"BEL","","ALL","2005","141.49"
"BEL","","ALL","2006","145.33"
"BEL","","ALL","2007","144"
"BEL","","ALL","2008","145.22"
"BEL","","ALL","2009","148.24"
"BEL","","ALL","2010","146.77"
"BEL","","ALL","2011","152.12"
"BEL","","ALL","2012","149.59"
"BEL","","ALL","2013","155.65"
"BEL","","ALL","2014","152.84"
"BEL","","ALL","2015","155.5"
"BEL","","ALL","2016","146.67"
"BEL","","ALL","2017","144.18"
"BEL","","ALL","2018","154.44"
"BEL","","ALL","2019","153.17"
"BGR","","ALL","1970","1027.14"
"BGR","","ALL","1975","991.58"
"BGR","","ALL","1980","1217.38"
"BGR","","ALL","1981","1226.41"
"BGR","","ALL","1982","1191.76"
"BGR","","ALL","1983","1092.85"
"BGR","","ALL","1984","1073.74"
"BGR","","ALL","1985","1098.45"
"BGR","","ALL","1986","1123.97"
"BGR","","ALL","1987","1149.35"
"BGR","","ALL","1988","1133.74"
"BGR","","ALL","1989","1175.73"
"BGR","","ALL","1990","1375.2"
"BGR","","ALL","1991","1443.07"
"BGR","","ALL","1992","1490.91"
"BGR","","ALL","1993","1272.7"
"BGR","","ALL","1994","1228.15"
"BGR","","ALL","1995","1349.12"
"BGR","","ALL","1996","1365.41"
"BGR","","ALL","1997","1370.7"
"BGR","","ALL","1998","1221.55"
"BGR","","ALL","1999","1001.26"
"BGR","","ALL","2000","833.05"
"BGR","","ALL","2001","750.44"
"BGR","","ALL","2002","764.28"
"BGR","","ALL","2003","692.56"
"BGR","","ALL","2004","675.71"
"BGR","","ALL","2005","588.04"
"BGR","","ALL","2006","503.83"
"BGR","","ALL","2007","498.93"
"BGR","","ALL","2008","470.88"
"BGR","","ALL","2009","416.68"
"BGR","","ALL","2010","417.78"
"BGR","","ALL","2011","447.68"
"BGR","","ALL","2012","433.91"
"BGR","","ALL","2013","443.16"
"BGR","","ALL","2014","416.44"
"BGR","","ALL","2015","421.26"
"BGR","","ALL","2016","406.44"
"BGR","","ALL","2017","379.75"
"BGR","","ALL","2018","376.82"
"BGR","","ALL","2019","355.29"
"BIH","","ALL","1980","660.87"
"BIH","","ALL","1983","677.08"
"BIH","","ALL","1984","730.53"
"BIH","","ALL","1985","810.94"
"BIH","","ALL","1986","860.3"
"BIH","","ALL","1987","958.09"
"BIH","","ALL","1988","958.39"
"BIH","","ALL","1989","981.47"
"BIH","","ALL","2017","138.46"
"BIH","","ALL","2018","129.51"
"BIH","","ALL","2019","78.53"
"BLR","","ALL","1990","1791.74"
"BLR","","ALL","1993","758.96"
"BLR","","ALL","1994","783.57"
"BLR","","ALL","1995","804.84"
"BLR","","ALL","1996","784.78"
"BLR","","ALL","1997","1658.98"
"BLR","","ALL","1998","1565.83"
"BLR","","ALL","1999","1457.8"
"BLR","","ALL","2000","1301.03"
"BLR","","ALL","2001","1105.56"
"BLR","","ALL","2002","1010.85"
"BLR","","ALL","2003","905.8"
"BLR","","ALL","2004","806.13"
"BLR","","ALL","2005","715.95"
"BLR","","ALL","2006","605"
"BLR","","ALL","2007","446.65"
"BLR","","ALL","2008","391.16"
"BLR","","ALL","2009","329.18"
"BLR","","ALL","2010","307.84"
"BLR","","ALL","2011","293.47"
"BLR","","ALL","2012","247.02"
"BLR","","ALL","2013","264.46"
"BLR","","ALL","2014","251.38"
"BLR","","ALL","2015","245.46"
"BLR","","ALL","2016","233.21"
"BLR","","ALL","2017","246.2"
"BLR","","ALL","2018","247.81"
"BLR","","ALL","2019","243.02"
"","CARINFONET","ALL","1985","430.03"
"","CARINFONET","ALL","1986","425.95"
"","CARINFONET","ALL","1990","381.58"
"","CARINFONET","ALL","1991","362.34"
"","CARINFONET","ALL","1992","423.12"
"","CARINFONET","ALL","1993","369.16"
"","CARINFONET","ALL","1994","336.62"
"","CARINFONET","ALL","1995","292.44"
"","CARINFONET","ALL","1996","270.09"
"","CARINFONET","ALL","1997","246.59"
"","CARINFONET","ALL","1998","234.9"
"","CARINFONET","ALL","1999","219.9"
"","CARINFONET","ALL","2000","215.87"
"","CARINFONET","ALL","2001","214.91"
"","CARINFONET","ALL","2002","198.75"
"","CARINFONET","ALL","2003","197.49"
"","CARINFONET","ALL","2004","181.63"
"","CARINFONET","ALL","2005","176.88"
"","CARINFONET","ALL","2006","170.2"
"","CARINFONET","ALL","2007","158.14"
"","CARINFONET","ALL","2008","139.86"
"","CARINFONET","ALL","2009","131.77"
"","CARINFONET","ALL","2010","121.71"
"","CARINFONET","ALL","2011","114.77"
"","CARINFONET","ALL","2012","119.46"
"","CARINFONET","ALL","2013","103.39"
"","CARINFONET","ALL","2014","102.56"
"","CARINFONET","ALL","2015","96.94"
"","CARINFONET","ALL","2016","98.73"
"","CARINFONET","ALL","2017","100.73"
"","CARINFONET","ALL","2018","96.23"
"","CARINFONET","ALL","2019","90.55"
"CHE","","ALL","1980","215"
"CHE","","ALL","1981","236.62"
"CHE","","ALL","1982","206.04"
"CHE","","ALL","1983","205.68"
"CHE","","ALL","1984","200.36"
"CHE","","ALL","1985","189.38"
"CHE","","ALL","1986","185.34"
"CHE","","ALL","1987","162.5"
"CHE","","ALL","1988","159.04"
"CHE","","ALL","1989","157.17"
"CHE","","ALL","1990","154.71"
"CHE","","ALL","1991","150.13"
"CHE","","ALL","1992","145.3"
"CHE","","ALL","1993","144.99"
"CHE","","ALL","1994","142.36"
"CHE","","ALL","1995","144.29"
"CHE","","ALL","1996","153.67"
"CHE","","ALL","1997","150.03"
"CHE","","ALL","1998","159.96"
"CHE","","ALL","1999","155.6"
"CHE","","ALL","2000","156.92"
"CHE","","ALL","2001","171.77"
"CHE","","ALL","2002","163.65"
"CHE","","ALL","2003","150.6"
"CHE","","ALL","2004","149.95"
"CHE","","ALL","2005","148.39"
"CHE","","ALL","2006","144.39"
"CHE","","ALL","2007","142.9"
"CHE","","ALL","2008","142.44"
"CHE","","ALL","2009","136.44"
"CHE","","ALL","2010","138.26"
"CHE","","ALL","2011","137.36"
"CHE","","ALL","2012","132.75"
"CHE","","ALL","2013","126.72"
"CHE","","ALL","2014","120.48"
"CHE","","ALL","2015","118.87"
"CHE","","ALL","2016","116.89"
"CHE","","ALL","2017","114.86"
"CHE","","ALL","2018","119.03"
"CHE","","ALL","2019","109.63"
"","CIS","ALL","1985","1341.89"
"","CIS","ALL","1986","1339.81"
"","CIS","ALL","1990","1271.72"
"","CIS","ALL","1991","1207.55"
"","CIS","ALL","1992","1229.87"
"","CIS","ALL","1993","1217.22"
