country;last data;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970
Albania;171;;;;171;170;172;156;170;190;205;203;239;249;262;266;242;244;257;351;298;342;282;315;358;406;448;434;470;368;393;318;296;310;261;272;264;239;241;199;194;225;;;;;;;;;;
Andorra;150;;;;;;;;;;;;;;;;;;;;;;;;;;150;;;;;;;;;;;;;;;;;;;;;;;;;
Armenia;315;;315;291;271;;270;279;308;323;280;274;311;303;287;278;291;284;300;303;325;343;395;465;575;651;628;598;473;396;350;327;347;390;415;469;422;419;416;431;436;464;;;;;;;;;;
Austria;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Azerbaijan;261;;;;261;217;165;160;162;178;158;162;161;166;147;140;138;150;149;150;166;150;178;201;191;220;200;209;194;178;179;134;;;;;;;;;;;;;;;;;;;;
Belarus;243;;243;248;246;233;245;251;264;247;293;308;329;391;447;605;716;806;906;1011;1106;1301;1458;1566;1659;785;805;784;759;;;1792;;;;;;;;;;;;;;;;;;;;
Belgium;153;;153;154;144;147;156;153;156;150;152;147;148;145;144;145;141;139;139;133;129;120;112;105;106;108;97;92;86;;;;134;124;133;128;141;;;;;;;;;;;;;;;
Bosnia and Herzegovina;79;;79;130;138;;;;;;;;;;;;;;;;;;;;;;;;;;;;981;958;958;860;811;731;677;;;661;;;;;;;;;;
Bulgaria;355;;355;377;380;406;421;416;443;434;448;418;417;471;499;504;588;676;693;764;750;833;1001;1222;1371;1365;1349;1228;1273;1491;1443;1375;1176;1134;1149;1124;1098;1074;1093;1192;1226;1217;;;;;992;;;;;1027
Croatia;75;;75;69;66;67;80;76;79;85;106;93;100;103;109;114;107;130;149;154;160;172;178;189;181;229;285;405;519;558;643;697;777;732;821;831;823;751;732;772;771;701;;;;;;;;;;
Cyprus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Czechia;158;;158;160;170;181;184;199;213;212;221;205;208;215;222;240;259;282;290;311;335;358;415;452;477;514;502;504;573;768;797;821;837;829;823;627;611;581;546;526;496;448;375;357;336;304;289;293;308;398;445;486
Denmark;230;;;230;228;230;269;276;292;285;277;265;269;258;247;236;240;238;244;237;237;237;245;251;254;270;252;253;277;278;306;325;350;360;371;363;371;400;409;408;429;407;390;382;415;411;387;349;230;172;148;132
Estonia;268;;268;266;291;328;354;383;429;433;456;448;480;525;564;631;670;720;815;834;923;975;1167;1298;1321;1275;1308;1396;1527;1430;1364;1319;1160;1225;1384;1483;1509;1393;1412;1568;1528;1599;;;;;;;;;;
Finland;191;;191;182;187;180;171;171;174;172;179;169;174;176;180;182;190;193;190;198;191;193;188;188;173;172;157;154;160;166;179;186;199;201;216;220;220;210;199;210;222;238;250;265;271;296;328;366;411;378;338;229
France;306;;306;292;279;271;270;272;278;262;264;267;265;263;271;270;267;274;268;272;263;249;264;266;260;255;246;266;268;258;263;259;;;;;;;;;;;;;;;;;;;;
Georgia;409;409;447;445;468;375;424;456;531;591;463;409;384;390;419;444;424;347;187;298;326;320;391;424;443;554;702;800;733;699;667;613;;;;;668;;;;;;;;;;;;;;;
Germany;130;;130;;129;125;135;;;159;164;163;166;168;171;178;181;184;181;181;184;176;169;168;161;164;128;135;139;147;150;;;;;;;;;;;;;;;;;;;;;
Greece;235;;;;;;235;229;233;176;128;152;139;138;145;153;153;153;151;156;217;174;113;117;126;125;133;122;121;115;108;99;110;96;82;65;62;58;51;55;61;61;58;40;43;51;44;42;53;60;61;63
Hungary;289;;289;300;311;327;340;357;393;400;437;448;448;445;449;464;499;552;568;579;581;607;697;709;743;728;687;644;643;715;707;719;734;701;672;652;630;;618;589;549;544;504;497;502;511;496;;;;;
