Country;Time limit for abortion on request;Exceptions and remarks;;
Austria;three months (= 13 weeks);"Later abortions possible in cases of: serious danger for the psychological or physical health of the pregnant woman; probable serious mental or physical disability of the child; the woman got pregnant before the age of 14.[17]";;
Belgium;12 Weeks;;;
Bulgaria;12 Weeks;;;
Croatia;10 Weeks;;;
Cyprus;12 Weeks;;;
Czech Republic;12 Weeks;;;
Denmark;12 Weeks;;;
Estonia;11 Weeks;;;
Finland;12 Weeks;;;
France;14 Weeks;"Interruption volontaire de grossesse (IVG) has a 14-week limit. The interruption médicale de grossesse (IMG), for medical reasons, is unlimited. No minimum age in order to request a voluntary abortion (IVG). A pregnant minor needs the consent of her parents (or her legal representative), or she can keep her abortion secret, in which case she needs to be accompanied by an adult person of her choice.[18] After 14 weeks, an IMG can be carried out for: The continued pregnancy poses a serious danger to the woman; or there is a large probability that the child would be born with serious, incurable disease.[19]";;
Germany;12 Weeks;"Abortion is legal only if the pregnant woman has been advised by a doctor at least three days before performing the abortion (Bedenkzeit, time for consideration). A later, medically indicated abortion is possible in cases of: life of the woman is in danger; the physical or psychological health of the pregnant woman could be seriously endangered by not aborting the pregnancy. In such a case, the otherwise mandatory counseling by a doctor is voluntary.[20] Abortions on request during the first 12 weeks were enacted by East Germany in 1972. West Germany followed suit in 1974, but the Federal Constitutional Court ruled the law unconstitutional because it infringed the right to life of the unborn. A new law in 1976 allowed abortions only when the woman was physically or psychologically in danger; if the child would be born with a severe disability; if carrying out the pregnancy would cause severe social problems for the woman (e.g. poverty) or if the pregnancy was the result of sexual violence. There were no abortions on request. Today's rules, granting the right to non-medical abortions on request, were enacted in 1993.[citation needed]";;
Greece;12 Weeks;In the case of rape or incest, an abortion can occur as late as 19 weeks and 24 weeks in the case of fetal abnormalities. In the case of inevitable risk to the life of the pregnant woman or a risk of serious and continuous damage to her physical or mental health, termination of pregnancy is legal any time before birth.[21];;
Hungary;12 Weeks;;;
Italy;12 Weeks;;;
Latvia;12 Weeks;;;
Liechtenstein; Total ban;"Exceptions: if the woman is a victim of sexual violence; if she had been underage during intercourse; if the life of the woman is in serious danger; if carrying out the pregnancy would seriously damage the woman's health[22] In earlier times (pre-2010), the penal law criminalized abortions abroad if the woman had her residence in Liechtenstein, and the abortion did not follow Liechtenstein's regulations.[23]";;
Lithuania;12 Weeks;;;
Luxembourg;12 Weeks;;;
Malta; Total ban;Doctors are required to attempt to save both the unborn child and the mother in the event of health complications.[citation needed];;
Netherlands;24 Weeks;;;
Norway;12 Weeks;18 Weeks by abortion council, 22 weeks if compelling reasons, later if grave risk[citation needed];;
Poland; Total ban;Exceptions: Case of rape or cases of risk to the life or health of pregnant woman[24];;
Portugal;10 Weeks;Later abortion is possible in case of medical issues presented by the fetus or health risk towards the mother.[citation needed];;
Republic of Ireland;12 Weeks;;;
Romania;14 Weeks;;;
Slovakia;12 Weeks;;;
Slovenia;10 Weeks;;;
Spain;14 Weeks;;;
Sweden;18 Weeks;;;
Switzerland;12 Weeks;Abortions after 12 weeks possible if a doctor confirms that the abortion prevents any kind of serious harm, physical or psychological. An underage woman does not need to inform anybody of her abortion, and does not need to receive consent from her parents or any other person.[25];;
United Kingdom;24 Weeks;;;
;;;;
