COUNTRY,COUNTRY_GRP,SEX,YEAR,VALUE
ALB,,ALL,1980,15912
ALB,,ALL,1981,15693
ALB,,ALL,1982,16289
ALB,,ALL,1983,17756
ALB,,ALL,1984,18908
ALB,,ALL,1985,20489
ALB,,ALL,1986,20768
ALB,,ALL,1987,20815
ALB,,ALL,1988,24815
ALB,,ALL,1989,23352
ALB,,ALL,1990,26112
ALB,,ALL,1991,30408
ALB,,ALL,1992,27745
ALB,,ALL,1993,33441
ALB,,ALL,1994,31292
ALB,,ALL,1995,32268
ALB,,ALL,1996,27734
ALB,,ALL,1997,22133
ALB,,ALL,1998,18948
ALB,,ALL,1999,16360
ALB,,ALL,2000,17120
ALB,,ALL,2001,15728
ALB,,ALL,2002,15625
ALB,,ALL,2003,12087
ALB,,ALL,2004,10517
ALB,,ALL,2005,9403
ALB,,ALL,2006,9552
ALB,,ALL,2007,9030
ALB,,ALL,2008,8335
ALB,,ALL,2009,8139
ALB,,ALL,2010,6919
ALB,,ALL,2011,7042
ALB,,ALL,2012,6755
ALB,,ALL,2013,6093
ALB,,ALL,2014,5572
ALB,,ALL,2015,5619
ALB,,ALL,2016,5396
ALB,,ALL,2017,5279
ALB,,ALL,2018,5532
AND,,ALL,1995,99
ARM,,ALL,1980,32604
ARM,,ALL,1981,32105
ARM,,ALL,1982,32004
ARM,,ALL,1983,33158
ARM,,ALL,1984,33385
ARM,,ALL,1985,33896
ARM,,ALL,1986,38116
ARM,,ALL,1987,32587
ARM,,ALL,1988,29149
ARM,,ALL,1989,26141
ARM,,ALL,1990,26094
ARM,,ALL,1991,27264
ARM,,ALL,1992,27958
ARM,,ALL,1993,27907
ARM,,ALL,1994,30571
ARM,,ALL,1995,30726
ARM,,ALL,1996,31323
ARM,,ALL,1997,25266
ARM,,ALL,1998,18286
ARM,,ALL,1999,14403
ARM,,ALL,2000,11769
ARM,,ALL,2001,10419
ARM,,ALL,2002,9767
ARM,,ALL,2003,10730
ARM,,ALL,2004,10645
ARM,,ALL,2005,10925
ARM,,ALL,2006,11132
ARM,,ALL,2007,11501
ARM,,ALL,2008,12469
ARM,,ALL,2009,13797
ARM,,ALL,2010,12295
ARM,,ALL,2011,12130
ARM,,ALL,2012,13730
ARM,,ALL,2013,12871
ARM,,ALL,2014,12019
ARM,,ALL,2015,11259
ARM,,ALL,2016,10736
ARM,,ALL,2017,10228
ARM,,ALL,2018,10647
ARM,,ALL,2019,11348
ARM,,ALL,2020,11219
AZE,,ALL,1990,24611
AZE,,ALL,1991,34006
AZE,,ALL,1992,32287
AZE,,ALL,1993,33951
AZE,,ALL,1994,33354
AZE,,ALL,1995,28700
AZE,,ALL,1996,28418
AZE,,ALL,1997,25228
AZE,,ALL,1998,24942
AZE,,ALL,1999,20911
AZE,,ALL,2000,17529
AZE,,ALL,2001,18361
AZE,,ALL,2002,16635
AZE,,ALL,2003,16912
AZE,,ALL,2004,19806
AZE,,ALL,2005,19586
AZE,,ALL,2006,20867
AZE,,ALL,2007,22325
AZE,,ALL,2008,25256
AZE,,ALL,2009,24562
AZE,,ALL,2010,26801
AZE,,ALL,2011,27790
AZE,,ALL,2012,31038
AZE,,ALL,2013,27892
AZE,,ALL,2014,27220
AZE,,ALL,2015,27452
AZE,,ALL,2016,34569
AZE,,ALL,2017,37618
BEL,,ALL,1985,16035
BEL,,ALL,1986,14972
BEL,,ALL,1987,15623
BEL,,ALL,1988,14828
BEL,,ALL,1989,16245
BEL,,ALL,1993,10380
BEL,,ALL,1994,10737
BEL,,ALL,1995,11243
BEL,,ALL,1996,12628
BEL,,ALL,1997,12266
BEL,,ALL,1998,11999
BEL,,ALL,1999,12734
BEL,,ALL,2000,13762
BEL,,ALL,2001,14775
BEL,,ALL,2002,14790
BEL,,ALL,2003,15595
BEL,,ALL,2004,16024
BEL,,ALL,2005,16696
BEL,,ALL,2006,17640
BEL,,ALL,2007,18033
BEL,,ALL,2008,18595
BEL,,ALL,2009,18870
BEL,,ALL,2010,19095
BEL,,ALL,2011,19578
BEL,,ALL,2012,19155
BEL,,ALL,2013,19551
BEL,,ALL,2014,19107
BEL,,ALL,2015,19013
BEL,,ALL,2016,17878
