COUNTRY,COUNTRY_GRP,SEX,YEAR,VALUE
ALB,,ALL,1970,73000
ALB,,ALL,1971,74000
ALB,,ALL,1972,75000
ALB,,ALL,1973,76000
ALB,,ALL,1974,77000
ALB,,ALL,1975,78000
ALB,,ALL,1976,78400
ALB,,ALL,1977,78800
ALB,,ALL,1978,79200
ALB,,ALL,1979,79600
ALB,,ALL,1980,70680
ALB,,ALL,1981,81000
ALB,,ALL,1982,82000
ALB,,ALL,1983,73800
ALB,,ALL,1984,79177
ALB,,ALL,1985,77535
ALB,,ALL,1986,76435
ALB,,ALL,1987,79696
ALB,,ALL,1988,80141
ALB,,ALL,1989,78862
ALB,,ALL,1990,82125
ALB,,ALL,1991,77361
ALB,,ALL,1992,75425
ALB,,ALL,1993,71079
ALB,,ALL,1994,72179
ALB,,ALL,1995,72081
ALB,,ALL,1996,68358
ALB,,ALL,1997,61739
ALB,,ALL,1998,60139
ALB,,ALL,1999,57948
ALB,,ALL,2000,50077
ALB,,ALL,2001,52715
ALB,,ALL,2002,44525
ALB,,ALL,2003,47012
ALB,,ALL,2004,43022
ALB,,ALL,2005,38898
ALB,,ALL,2006,35891
ALB,,ALL,2007,34448
ALB,,ALL,2008,33445
ALB,,ALL,2009,34114
ALB,,ALL,2010,34061
ALB,,ALL,2011,34285
ALB,,ALL,2012,35473
ALB,,ALL,2013,35750
ALB,,ALL,2014,35760
ALB,,ALL,2015,32715
ALB,,ALL,2016,31733
ALB,,ALL,2017,30869
AND,,ALL,1991,652
AND,,ALL,1992,733
AND,,ALL,1993,651
AND,,ALL,1994,652
AND,,ALL,1995,660
AND,,ALL,1996,620
AND,,ALL,1997,691
AND,,ALL,1998,773
AND,,ALL,1999,843
AND,,ALL,2000,759
AND,,ALL,2001,753
AND,,ALL,2002,772
AND,,ALL,2003,750
AND,,ALL,2004,813
AND,,ALL,2005,818
AND,,ALL,2006,833
AND,,ALL,2007,818
AND,,ALL,2008,861
AND,,ALL,2009,838
AND,,ALL,2010,828
AND,,ALL,2011,793
AND,,ALL,2012,737
AND,,ALL,2013,637
AND,,ALL,2014,639
AND,,ALL,2015,659
AND,,ALL,2016,634
AND,,ALL,2017,588
AND,,ALL,2018,543
AND,,ALL,2019,540
AND,,ALL,2020,539
